timestamp,day,side,qty,price_open,price_exec,commission,slippage_cost,shares_after,cash_after
2024-02-13 21:00:00+00:00,2024-02-13,BUY,636,494.14,494.14,2.226,0.0,0,107140.34509999966
2024-02-14 15:30:00+00:00,2024-02-14,BUY,534,497.72,497.72,1.869,0.0,534,-158644.0039000004
2024-02-14 16:00:00+00:00,2024-02-14,SELL,-534,495.95,495.95,1.869,-0.0,0,106191.4270999996
2024-02-15 17:30:00+00:00,2024-02-15,BUY,508,500.45,500.45,1.778,0.0,508,-148038.9509000004
2024-02-15 18:00:00+00:00,2024-02-15,SELL,-508,500.045,500.045,1.778,-0.0,0,105982.1310999996
2024-02-15 18:30:00+00:00,2024-02-15,BUY,508,501.47,501.47,1.778,0.0,508,-148766.4069000004
2024-02-16 15:00:00+00:00,2024-02-16,SELL,-1012,499.65,499.65,3.5420000000000003,-0.0,-504,356875.85109999956
2024-02-16 16:00:00+00:00,2024-02-16,BUY,504,500.93,500.93,1.764,0.0,0,104405.36709999957
2024-02-16 21:00:00+00:00,2024-02-16,SELL,-504,499.49,499.49,1.764,-0.0,-504,356146.5630999995
2024-02-20 15:00:00+00:00,2024-02-20,BUY,14,496.68,496.68,0.35,0.0,-490,349192.6930999995
2024-02-20 16:00:00+00:00,2024-02-20,BUY,490,497.02,497.02,1.715,0.0,0,105651.17809999952
2024-02-20 17:00:00+00:00,2024-02-20,SELL,-490,495.75,495.75,1.715,-0.0,-490,348566.9630999995
2024-02-20 20:00:00+00:00,2024-02-20,BUY,490,496.72,496.72,1.715,0.0,0,105172.44809999951
2024-02-22 15:00:00+00:00,2024-02-22,BUY,486,505.02,505.02,1.701,0.0,486,-140268.9729000005
2024-02-22 16:00:00+00:00,2024-02-22,SELL,-486,504.77,504.77,1.701,-0.0,0,105047.54609999951
2024-02-22 16:30:00+00:00,2024-02-22,BUY,486,505.39,505.39,1.701,0.0,486,-140573.69490000047
2024-02-22 17:00:00+00:00,2024-02-22,SELL,-486,505.25,505.25,1.701,-0.0,0,104976.10409999953
2024-02-22 17:30:00+00:00,2024-02-22,BUY,486,505.95,505.95,1.701,0.0,486,-140917.29690000045
2024-02-26 21:00:00+00:00,2024-02-26,SELL,-996,505.99,505.99,3.486,-0.0,-510,363045.25709999964
2024-03-01 15:30:00+00:00,2024-03-01,BUY,1031,510.365,510.365,3.6085000000000003,0.0,521,-163144.66640000042
2024-03-05 15:00:00+00:00,2024-03-05,SELL,-1029,509.7,509.7,3.6015,-0.0,-508,361333.0320999995
2024-03-07 15:30:00+00:00,2024-03-07,BUY,1039,514.18,514.18,3.6365000000000003,0.0,531,-172903.6244000004
2024-03-07 20:30:00+00:00,2024-03-07,SELL,-531,514.61,514.61,1.8585,-0.0,0,100352.42709999962
2024-03-08 15:00:00+00:00,2024-03-08,BUY,521,517.76,517.76,1.8235000000000001,0.0,521,-169402.3564000004
2024-03-08 16:30:00+00:00,2024-03-08,SELL,-521,514.75,514.75,1.8235000000000001,-0.0,0,98780.5700999996
2024-03-08 18:00:00+00:00,2024-03-08,SELL,-521,512.55,512.55,1.8235000000000001,-0.0,-521,365817.2965999996
2024-03-08 19:30:00+00:00,2024-03-08,BUY,521,513.46,513.46,1.8235000000000001,0.0,0,98302.81309999956
2024-03-08 20:30:00+00:00,2024-03-08,SELL,-521,511.93,511.93,1.8235000000000001,-0.0,-521,365016.5195999996
2024-03-11 15:30:00+00:00,2024-03-11,BUY,15,509.48,509.48,0.35,0.0,-506,357373.9695999996
2024-03-11 16:00:00+00:00,2024-03-11,BUY,506,510.83,510.83,1.7710000000000001,0.0,0,98892.21859999963
2024-03-12 15:00:00+00:00,2024-03-12,BUY,519,515.93,515.93,1.8165,0.0,519,-168877.26790000036
2024-03-12 17:00:00+00:00,2024-03-12,SELL,-519,514.41,514.41,1.8165,-0.0,0,98099.70559999962
2024-03-12 17:30:00+00:00,2024-03-12,BUY,519,514.9299,514.9299,1.8165,0.0,519,-169150.7290000003
2024-03-14 15:00:00+00:00,2024-03-14,SELL,-1025,514.64,514.64,3.5875,-0.0,-506,358351.6834999997
2024-03-14 16:00:00+00:00,2024-03-14,BUY,506,514.99,514.99,1.7710000000000001,0.0,0,97764.9724999997
2024-03-14 16:30:00+00:00,2024-03-14,SELL,-506,514.71,514.71,1.7710000000000001,-0.0,-506,358206.4614999997
2024-03-14 18:30:00+00:00,2024-03-14,BUY,506,514.67,514.67,1.7710000000000001,0.0,0,97781.6704999997
2024-03-14 19:00:00+00:00,2024-03-14,SELL,-506,513.89,513.89,1.7710000000000001,-0.0,-506,357808.2394999997
2024-03-14 20:00:00+00:00,2024-03-14,BUY,506,514.96,514.96,1.7710000000000001,0.0,0,97236.70849999967
2024-03-15 17:00:00+00:00,2024-03-15,SELL,-669,508.47,508.47,2.3415,-0.0,-669,437400.7969999997
2024-03-15 17:30:00+00:00,2024-03-15,BUY,669,509.33,509.33,2.3415,0.0,0,96656.68549999972
2024-03-18 15:00:00+00:00,2024-03-18,BUY,597,515.14,515.14,2.0895,0.0,597,-210883.9840000003
2024-03-18 15:30:00+00:00,2024-03-18,SELL,-597,514.69,514.69,2.0895,-0.0,0,96383.85649999976
2024-03-19 16:30:00+00:00,2024-03-19,BUY,595,514.0,514.0,2.0825,0.0,595,-209448.22600000023
2024-03-20 18:30:00+00:00,2024-03-20,SELL,-11,517.66,517.66,0.35,-0.0,584,-203754.31600000022
2024-03-22 15:00:00+00:00,2024-03-22,SELL,-1167,521.06,521.06,4.0845,-0.0,-583,404318.6194999997
2024-03-22 15:30:00+00:00,2024-03-22,BUY,583,521.705,521.705,2.0405,0.0,0,100162.56399999966
2024-04-01 16:00:00+00:00,2024-04-01,SELL,-678,521.1,521.1,2.373,-0.0,-678,453465.99099999963
2024-04-01 19:00:00+00:00,2024-04-01,BUY,678,521.86,521.86,2.373,0.0,0,99642.53799999961
2024-04-02 14:00:00+00:00,2024-04-02,SELL,-707,517.61,517.61,2.4745,-0.0,-707,465590.3334999996
2024-04-02 15:30:00+00:00,2024-04-02,BUY,707,517.625,517.625,2.4745,0.0,0,99626.9839999996
2024-04-02 16:00:00+00:00,2024-04-02,SELL,-707,517.125,517.125,2.4745,-0.0,-707,465231.8844999996
2024-04-02 16:30:00+00:00,2024-04-02,BUY,707,517.44,517.44,2.4745,0.0,0,99399.32999999957
2024-04-03 14:30:00+00:00,2024-04-03,BUY,669,520.41,520.41,2.3415,0.0,669,-248757.30150000044
2024-04-03 19:00:00+00:00,2024-04-03,SELL,-669,519.95,519.95,2.3415,-0.0,0,99086.90699999961
