"Date","Time","Open","High","Low","Close","Vol","OI"
04/24/2024,16:00,506.56,507.37,503.13,505.41,55930333,0
04/25/2024,16:00,499.18,504.27,497.49,503.49,69123101,0
04/26/2024,16:00,506.35,509.88,505.70,508.26,64307256,0
04/29/2024,16:00,510.09,510.75,507.25,510.06,46415505,0
04/30/2024,16:00,508.56,509.56,501.98,501.98,77485041,0
05/01/2024,16:00,501.38,508.19,499.87,500.35,80242977,0
05/02/2024,16:00,504.15,505.89,499.55,505.03,62550794,0
05/03/2024,16:00,511.16,512.55,508.56,511.29,72757109,0
05/06/2024,16:00,513.75,516.61,513.30,516.57,47264747,0
05/07/2024,16:00,517.56,518.57,516.45,517.14,52561418,0
05/08/2024,16:00,515.26,517.74,515.14,517.19,42047219,0
05/09/2024,16:00,517.38,520.21,516.71,520.17,43643993,0
05/10/2024,16:00,521.81,522.64,519.59,520.84,52235398,0
05/13/2024,16:00,522.56,522.67,519.74,520.91,36716421,0
05/14/2024,16:00,521.11,523.83,520.56,523.30,57536395,0
05/15/2024,16:00,525.83,530.08,525.18,529.78,59505247,0
05/16/2024,16:00,529.88,531.52,528.54,528.69,50245880,0
05/17/2024,16:00,528.81,529.52,527.32,529.45,59187845,0
05/20/2024,16:00,529.57,531.56,529.17,530.06,37765781,0
05/21/2024,16:00,529.28,531.52,529.07,531.36,33437358,0
05/22/2024,16:00,530.65,531.38,527.60,529.83,48391246,0
05/23/2024,16:00,532.96,533.07,524.72,525.96,57211210,0
05/24/2024,16:00,527.85,530.27,526.88,529.44,41301441,0
05/28/2024,16:00,530.27,530.51,527.11,529.81,36299306,0
05/29/2024,16:00,525.68,527.31,525.37,526.10,45190545,0
05/30/2024,16:00,524.52,525.20,521.33,522.61,46468798,0
05/31/2024,16:00,523.59,527.50,518.36,527.37,90788723,0
06/03/2024,16:00,529.02,529.31,522.60,527.80,46835898,0
06/04/2024,16:00,526.46,529.15,524.96,528.39,34633270,0
06/05/2024,16:00,530.77,534.69,528.73,534.67,47610368,0
06/06/2024,16:00,534.98,535.42,532.68,534.66,30809211,0
06/07/2024,16:00,533.66,536.89,532.54,534.01,43224771,0
06/10/2024,16:00,533.18,535.99,532.57,535.66,35729481,0
06/11/2024,16:00,534.07,537.40,532.05,536.95,36383500,0
06/12/2024,16:00,541.63,544.12,540.30,541.36,63251464,0
06/13/2024,16:00,543.15,543.33,539.59,542.45,44761037,0
06/14/2024,16:00,540.88,542.81,539.85,542.78,40090639,0
06/17/2024,16:00,542.08,548.53,541.61,547.10,55839490,0
06/18/2024,16:00,547.16,548.62,546.73,548.49,41377600,0
06/20/2024,16:00,549.44,550.12,545.18,547.00,70330955,0
06/21/2024,16:00,544.40,545.65,543.02,544.51,64516808,0
06/24/2024,16:00,544.33,546.95,542.62,542.74,45528713,0
06/25/2024,16:00,543.99,545.20,542.44,544.83,38287808,0
06/26/2024,16:00,543.69,546.24,543.03,545.51,38551931,0
06/27/2024,16:00,545.37,546.96,544.61,546.37,35041548,0
06/28/2024,16:00,547.16,550.28,542.95,544.22,76146572,0
07/01/2024,16:00,545.63,545.88,542.52,545.34,40298908,0
07/02/2024,16:00,543.70,549.01,543.65,549.01,40435739,0
07/03/2024,16:00,548.69,551.83,548.65,551.46,32792165,0
07/05/2024,16:00,551.77,555.05,551.12,554.64,41489284,0
07/08/2024,16:00,555.44,556.25,554.19,555.28,36111750,0
07/09/2024,16:00,556.26,557.18,555.52,555.82,27314162,0
07/10/2024,16:00,557.07,561.67,556.77,561.32,38701595,0
07/11/2024,16:00,561.44,562.33,555.83,556.48,53054237,0
07/12/2024,16:00,557.63,563.67,557.15,559.99,53087862,0
07/15/2024,16:00,562.03,564.84,559.63,561.53,40584865,0
07/16/2024,16:00,562.87,565.16,562.10,564.86,36476691,0
07/17/2024,16:00,558.80,560.51,556.61,556.94,57119135,0
07/18/2024,16:00,558.51,559.52,550.43,552.66,56304827,0
07/19/2024,16:00,552.42,554.08,547.91,548.99,65511216,0
07/22/2024,16:00,553.00,555.27,551.02,554.65,43346906,0
07/23/2024,16:00,554.54,556.74,553.28,553.78,34440913,0
07/24/2024,16:00,548.86,549.17,540.29,541.23,74519177,0
07/25/2024,16:00,541.35,547.46,537.45,538.41,61158836,0
07/26/2024,16:00,542.28,547.19,541.49,544.44,53764430,0
07/29/2024,16:00,546.02,547.05,542.72,544.76,39519076,0
07/30/2024,16:00,546.26,547.34,538.52,542.00,46854067,0
07/31/2024,16:00,548.98,553.50,547.58,550.81,65663559,0
08/01/2024,16:00,552.57,554.87,539.43,543.01,76430040,0
08/02/2024,16:00,535.75,536.99,528.60,532.90,82847936,0
08/05/2024,16:00,511.64,523.58,510.27,517.38,146269527,0
08/06/2024,16:00,519.22,529.75,517.87,522.15,84829353,0
08/07/2024,16:00,528.47,531.59,518.05,518.66,70698917,0
08/08/2024,16:00,523.91,531.29,521.84,530.65,63276604,0
08/09/2024,16:00,529.81,534.51,528.56,532.99,45622644,0
08/12/2024,16:00,534.21,535.73,530.95,533.27,42543210,0
08/13/2024,16:00,536.53,542.28,536.28,542.04,52333266,0
08/14/2024,16:00,542.85,544.96,540.12,543.75,42447887,0
08/15/2024,16:00,549.50,553.36,548.88,553.07,60846908,0
08/16/2024,16:00,551.42,555.02,551.26,554.31,44430954,0
08/19/2024,16:00,554.73,559.61,553.86,559.61,39122273,0
08/20/2024,16:00,559.15,560.84,557.33,558.70,33732840,0
08/21/2024,16:00,559.77,562.11,557.99,560.62,41514800,0
08/22/2024,16:00,562.56,563.18,554.98,556.22,56122139,0
08/23/2024,16:00,559.53,563.09,557.29,562.13,50639824,0
08/26/2024,16:00,563.18,563.91,559.05,560.79,35789352,0
08/27/2024,16:00,559.49,562.06,558.32,561.56,32694522,0
08/28/2024,16:00,561.21,561.65,555.04,558.30,41067300,0
08/29/2024,16:00,560.31,563.68,557.18,558.35,38715204,0
08/30/2024,16:00,560.77,564.20,557.14,563.68,62701045,0
09/03/2024,16:00,560.47,560.81,549.51,552.08,60601675,0
09/04/2024,16:00,550.20,554.43,549.46,550.95,47225409,0
09/05/2024,16:00,550.89,553.80,547.10,549.61,44266064,0
09/06/2024,16:00,549.94,551.60,539.44,540.36,68497052,0
09/09/2024,16:00,544.65,547.71,542.68,546.41,40446465,0
09/10/2024,16:00,548.36,549.15,543.38,548.79,36395286,0
09/11/2024,16:00,548.70,555.36,539.96,554.42,75250081,0
09/12/2024,16:00,555.01,559.40,552.74,559.09,51893795,0
09/13/2024,16:00,559.71,563.03,559.45,562.01,39310680,0
09/16/2024,16:00,561.74,563.11,559.90,562.84,36658281,0
09/17/2024,16:00,565.10,566.58,560.80,563.07,49321054,0
09/18/2024,16:00,563.74,568.69,560.83,561.40,59047596,0
09/19/2024,16:00,571.01,572.88,568.08,570.98,75316519,0
09/20/2024,16:00,567.84,569.31,565.17,568.25,77503291,0
09/23/2024,16:00,569.34,570.33,568.10,569.67,44117690,0
09/24/2024,16:00,570.48,571.36,567.60,571.30,46807023,0
09/25/2024,16:00,571.14,571.89,568.91,570.04,38430538,0
09/26/2024,16:00,574.38,574.71,569.90,572.30,48336799,0
09/27/2024,16:00,573.39,574.22,570.42,571.47,42101900,0
09/30/2024,16:00,570.42,574.38,568.08,573.76,63657121,0
10/01/2024,16:00,573.40,574.06,566.00,568.62,72669036,0
10/02/2024,16:00,567.71,569.90,565.27,568.86,38100041,0
10/03/2024,16:00,567.36,569.80,565.49,567.82,40846617,0
10/04/2024,16:00,572.35,573.36,568.10,572.98,43007792,0
10/07/2024,16:00,571.30,571.96,566.63,567.80,49965231,0
10/08/2024,16:00,570.42,573.78,569.53,573.17,37399415,0
