volume,open,high,low,close,caldt
42447887,542.85,544.96,540.12,543.75,2024-08-14 16:00:00
60846908,549.5,553.36,548.88,553.07,2024-08-15 16:00:00
44430954,551.42,555.02,551.26,554.31,2024-08-16 16:00:00
39122273,554.73,559.61,553.86,559.61,2024-08-19 16:00:00
33732840,559.15,560.84,557.33,558.7,2024-08-20 16:00:00
41514800,559.77,562.11,557.99,560.62,2024-08-21 16:00:00
56122139,562.56,563.18,554.98,556.22,2024-08-22 16:00:00
50639824,559.53,563.09,557.29,562.13,2024-08-23 16:00:00
35789352,563.18,563.91,559.05,560.79,2024-08-26 16:00:00
32694522,559.49,562.06,558.32,561.56,2024-08-27 16:00:00
41067300,561.21,561.65,555.04,558.3,2024-08-28 16:00:00
38715204,560.31,563.68,557.18,558.35,2024-08-29 16:00:00
62701045,560.77,564.2,557.14,563.68,2024-08-30 16:00:00
60601675,560.47,560.81,549.51,552.08,2024-09-03 16:00:00
47225409,550.2,554.43,549.46,550.95,2024-09-04 16:00:00
44266064,550.89,553.8,547.1,549.61,2024-09-05 16:00:00
68497052,549.94,551.6,539.44,540.36,2024-09-06 16:00:00
40446465,544.65,547.71,542.68,546.41,2024-09-09 16:00:00
36395286,548.36,549.15,543.38,548.79,2024-09-10 16:00:00
75250081,548.7,555.36,539.96,554.42,2024-09-11 16:00:00
51893795,555.01,559.4,552.74,559.09,2024-09-12 16:00:00
39310680,559.71,563.03,559.45,562.01,2024-09-13 16:00:00
36658281,561.74,563.11,559.9,562.84,2024-09-16 16:00:00
49321054,565.1,566.58,560.8,563.07,2024-09-17 16:00:00
59047596,563.74,568.69,560.83,561.4,2024-09-18 16:00:00
75316519,571.01,572.88,568.08,570.98,2024-09-19 16:00:00
77503291,567.84,569.31,565.17,568.25,2024-09-20 16:00:00
44117690,569.34,570.33,568.1,569.67,2024-09-23 16:00:00
46807023,570.48,571.36,567.6,571.3,2024-09-24 16:00:00
38430538,571.14,571.89,568.91,570.04,2024-09-25 16:00:00
48336799,574.38,574.71,569.9,572.3,2024-09-26 16:00:00
42101900,573.39,574.22,570.42,571.47,2024-09-27 16:00:00
63657121,570.42,574.38,568.08,573.76,2024-09-30 16:00:00
72669036,573.4,574.06,566.0,568.62,2024-10-01 16:00:00
38100041,567.71,569.9,565.27,568.86,2024-10-02 16:00:00
40846617,567.36,569.8,565.49,567.82,2024-10-03 16:00:00
43007792,572.35,573.36,568.1,572.98,2024-10-04 16:00:00
49965231,571.3,571.96,566.63,567.8,2024-10-07 16:00:00
37399415,570.42,573.78,569.53,573.17,2024-10-08 16:00:00
37912603,573.16,577.71,572.55,577.14,2024-10-09 16:00:00
44140563,575.77,577.58,574.49,576.13,2024-10-10 16:00:00
42272053,576.05,580.33,575.91,579.58,2024-10-11 16:00:00
36217309,581.22,585.27,580.73,584.32,2024-10-14 16:00:00
54204072,584.59,584.9,578.55,579.78,2024-10-15 16:00:00
30727393,579.78,582.83,578.96,582.3,2024-10-16 16:00:00
34395476,585.91,586.12,582.16,582.35,2024-10-17 16:00:00
37416985,584.07,585.39,582.58,584.59,2024-10-18 16:00:00
36440157,583.85,584.85,580.6,583.63,2024-10-21 16:00:00
34184781,581.05,584.5,580.38,583.32,2024-10-22 16:00:00
49319829,581.26,581.71,574.42,577.99,2024-10-23 16:00:00
34980199,579.98,580.06,576.57,579.24,2024-10-24 16:00:00
47269488,581.51,584.46,578.08,579.04,2024-10-25 16:00:00
30176789,582.58,582.71,580.52,580.83,2024-10-28 16:00:00
42899784,579.85,582.91,578.43,581.77,2024-10-29 16:00:00
41437215,581.29,583.32,579.29,580.01,2024-10-30 16:00:00
60182648,575.56,575.63,568.44,568.64,2024-10-31 16:00:00
45668452,571.32,575.55,570.62,571.04,2024-11-01 16:00:00
38217618,571.18,572.5,567.89,569.81,2024-11-04 16:00:00
39483650,570.74,576.74,570.52,576.7,2024-11-05 16:00:00
68185119,589.2,591.93,585.39,591.04,2024-11-06 16:00:00
47233390,593.08,596.65,593.0,595.61,2024-11-07 16:00:00
46446560,596.17,599.64,596.17,598.19,2024-11-08 16:00:00
37588013,599.81,600.17,597.0,598.76,2024-11-11 16:00:00
43010932,598.68,599.29,594.37,596.9,2024-11-12 16:00:00
47389426,597.37,599.23,594.96,597.19,2024-11-13 16:00:00
38908641,597.32,597.81,592.65,593.35,2024-11-14 16:00:00
75991327,589.72,590.2,583.86,585.75,2024-11-15 16:00:00
37090050,586.22,589.49,585.34,588.15,2024-11-18 16:00:00
49412393,584.71,591.05,584.03,590.3,2024-11-19 16:00:00
50033844,590.38,590.79,584.63,590.5,2024-11-20 16:00:00
46750847,593.4,595.12,587.45,593.67,2024-11-21 16:00:00
38226743,593.66,596.15,593.15,595.51,2024-11-22 16:00:00
42441650,599.52,600.86,595.2,597.53,2024-11-25 16:00:00
45621632,598.8,601.33,598.07,600.65,2024-11-26 16:00:00
34001472,600.46,600.85,597.28,598.83,2024-11-27 16:00:00
30186192,599.66,603.35,599.38,602.55,2024-11-29 16:00:00
31746026,602.97,604.32,602.47,603.63,2024-12-02 16:00:00
26907602,603.39,604.16,602.34,603.91,2024-12-03 16:00:00
42787954,605.63,607.91,604.95,607.66,2024-12-04 16:00:00
28769926,607.66,608.48,606.31,606.66,2024-12-05 16:00:00
31242527,607.44,609.07,607.02,607.81,2024-12-06 16:00:00
34743058,607.69,607.86,604.08,604.68,2024-12-09 16:00:00
37234858,605.37,605.8,602.13,602.8,2024-12-10 16:00:00
28678190,605.78,608.44,605.5,607.46,2024-12-11 16:00:00
31544259,606.58,607.16,604.33,604.33,2024-12-12 16:00:00
35905600,606.4,607.13,602.81,604.21,2024-12-13 16:00:00
43696176,606.0,607.78,605.21,606.79,2024-12-16 16:00:00
55773599,604.19,605.17,602.89,604.29,2024-12-17 16:00:00
108249957,603.98,606.41,585.89,586.28,2024-12-18 16:00:00
85920160,591.36,593.0,585.85,586.1,2024-12-19 16:00:00
125719646,581.77,595.75,580.91,591.15,2024-12-20 16:00:00
57636281,590.89,595.3,587.66,594.69,2024-12-23 16:00:00
33170136,596.06,601.34,595.47,601.3,2024-12-24 16:00:00
41339655,599.5,602.48,598.08,601.34,2024-12-26 16:00:00
64973254,597.54,597.78,590.76,595.01,2024-12-27 16:00:00
56579118,587.89,591.74,584.41,588.22,2024-12-30 16:00:00
58465718,589.91,590.64,584.42,586.08,2024-12-31 16:00:00
50204552,589.39,591.13,580.5,584.64,2025-01-02 16:00:00
37888967,587.53,592.6,586.43,591.95,2025-01-03 16:00:00
47680059,596.27,599.7,593.6,595.36,2025-01-06 16:00:00
60396351,597.42,597.75,586.78,588.63,2025-01-07 16:00:00
47305798,588.7,590.58,585.2,589.49,2025-01-08 16:00:00
73109030,585.88,585.95,578.55,580.49,2025-01-10 16:00:00
47911214,575.77,581.75,575.35,581.39,2025-01-13 16:00:00
48421239,584.36,585.0,578.35,582.19,2025-01-14 16:00:00
56900338,590.33,593.94,589.2,592.78,2025-01-15 16:00:00
43323904,594.18,594.35,590.93,591.64,2025-01-16 16:00:00
58071143,596.96,599.36,595.61,597.58,2025-01-17 16:00:00
42533381,600.67,603.06,598.67,603.05,2025-01-21 16:00:00
48196335,605.92,607.82,605.36,606.44,2025-01-22 16:00:00
41152340,605.8,609.75,605.52,609.75,2025-01-23 16:00:00
34608066,609.81,610.78,606.8,607.97,2025-01-24 16:00:00
70361469,594.81,599.69,594.64,599.37,2025-01-27 16:00:00
44438300,600.62,605.37,597.25,604.52,2025-01-28 16:00:00
37180016,603.72,604.13,599.22,601.81,2025-01-29 16:00:00
39283082,603.96,606.6,600.72,605.04,2025-01-30 16:00:00
66678938,607.5,609.96,601.05,601.82,2025-01-31 16:00:00
65859357,592.67,600.29,590.49,597.77,2025-02-03 16:00:00
33457989,597.83,602.3,597.28,601.78,2025-02-04 16:00:00
30653342,600.64,604.37,598.58,604.22,2025-02-05 16:00:00
35771717,605.99,606.45,602.63,606.32,2025-02-06 16:00:00
50790192,606.89,608.13,600.05,600.77,2025-02-07 16:00:00
26048984,604.03,605.5,602.74,604.85,2025-02-10 16:00:00
30056997,602.55,605.86,602.43,605.31,2025-02-11 16:00:00
45077901,599.2,604.55,598.51,603.36,2025-02-12 16:00:00
40926100,604.48,609.94,603.2,609.73,2025-02-13 16:00:00
26911730,609.94,610.99,609.07,609.7,2025-02-14 16:00:00
26750243,610.88,611.49,608.38,611.49,2025-02-18 16:00:00
31011623,610.08,613.23,609.56,612.93,2025-02-19 16:00:00
36554203,611.54,611.68,607.02,610.38,2025-02-20 16:00:00
76521052,610.16,610.3,599.47,599.94,2025-02-21 16:00:00
50738492,602.02,603.03,596.49,597.21,2025-02-24 16:00:00
58266657,597.15,597.89,589.56,594.24,2025-02-25 16:00:00
43321767,595.93,599.58,591.86,594.54,2025-02-26 16:00:00
74197213,596.85,598.02,584.65,585.05,2025-02-27 16:00:00
88745841,585.56,594.72,582.44,594.18,2025-02-28 16:00:00
74249871,596.18,597.34,579.9,583.77,2025-03-03 16:00:00
109648782,579.71,585.39,572.25,576.86,2025-03-04 16:00:00
71237091,576.69,584.88,573.08,583.06,2025-03-05 16:00:00
80095324,575.48,580.17,570.12,572.71,2025-03-06 16:00:00
81159819,570.9,577.39,565.63,575.92,2025-03-07 16:00:00
99327020,567.59,569.54,555.59,560.58,2025-03-10 16:00:00
88102303,559.4,564.02,552.02,555.92,2025-03-11 16:00:00
69589362,562.17,563.11,553.69,558.87,2025-03-12 16:00:00
74080481,558.49,559.11,549.68,551.42,2025-03-13 16:00:00
62662675,556.11,563.83,551.49,562.81,2025-03-14 16:00:00
49008798,562.79,569.71,562.35,567.15,2025-03-17 16:00:00
66042628,564.8,565.02,559.06,561.02,2025-03-18 16:00:00
66556806,562.83,570.95,561.63,567.13,2025-03-19 16:00:00
62958664,563.33,570.57,562.6,565.49,2025-03-20 16:00:00
83773932,559.28,564.89,558.03,563.98,2025-03-21 16:00:00
58768171,570.8,575.15,570.2,574.08,2025-03-24 16:00:00
38355907,575.3,576.41,573.69,575.46,2025-03-25 16:00:00
52229115,575.19,576.33,567.19,568.59,2025-03-26 16:00:00
42168202,567.18,570.9,564.94,567.08,2025-03-27 16:00:00
71666064,565.53,566.27,555.07,555.66,2025-03-28 16:00:00
95331328,549.83,560.71,546.87,559.39,2025-03-31 16:00:00
54610317,557.45,562.94,553.68,560.97,2025-04-01 16:00:00
76018593,555.05,567.42,554.81,564.52,2025-04-02 16:00:00
125987604,545.11,547.97,536.7,536.7,2025-04-03 16:00:00
217978087,523.67,525.87,505.06,505.28,2025-04-04 16:00:00
256613711,489.19,523.17,481.8,504.38,2025-04-07 16:00:00
165833833,521.86,524.98,489.16,496.48,2025-04-08 16:00:00
241872639,493.44,548.62,493.05,548.62,2025-04-09 16:00:00
162332413,532.17,533.5,509.32,524.58,2025-04-10 16:00:00
97868378,523.01,536.43,520.07,533.94,2025-04-11 16:00:00
68036092,544.05,544.28,533.86,539.12,2025-04-14 16:00:00
56893776,539.68,543.23,536.81,537.61,2025-04-15 16:00:00
83487317,531.68,537.89,520.29,525.66,2025-04-16 16:00:00
79871129,527.64,531.17,523.91,526.41,2025-04-17 16:00:00
69369435,521.16,521.7,508.46,513.88,2025-04-21 16:00:00
75948930,520.14,529.31,519.19,527.25,2025-04-22 16:00:00
90590945,540.43,545.43,533.88,535.42,2025-04-23 16:00:00
64150834,536.72,547.43,535.45,546.69,2025-04-24 16:00:00
61120385,546.65,551.05,543.69,550.64,2025-04-25 16:00:00
47614669,551.39,553.55,545.02,550.85,2025-04-28 16:00:00
47776136,548.91,555.45,548.55,554.32,2025-04-29 16:00:00
93104034,547.57,556.52,541.52,554.54,2025-04-30 16:00:00
63186675,560.37,564.07,557.86,558.47,2025-05-01 16:00:00
60721425,564.73,568.38,562.38,566.76,2025-05-02 16:00:00
38660104,562.57,566.65,561.7,563.51,2025-05-05 16:00:00
48265515,557.93,563.35,556.96,558.8,2025-05-06 16:00:00
55735312,560.15,563.82,556.04,561.15,2025-05-07 16:00:00
65130920,565.24,570.31,561.7,565.06,2025-05-08 16:00:00
37615721,566.48,567.5,562.76,564.34,2025-05-09 16:00:00
78995741,581.47,583.0,577.04,582.99,2025-05-12 16:00:00
67947406,583.41,589.08,582.84,586.84,2025-05-13 16:00:00
66284700,587.81,588.98,585.54,587.59,2025-05-14 16:00:00
71269495,585.56,590.97,585.1,590.46,2025-05-15 16:00:00
76055594,591.25,594.5,589.28,594.2,2025-05-16 16:00:00
68170254,588.1,595.54,588.1,594.85,2025-05-19 16:00:00
60617498,593.09,594.05,589.6,592.85,2025-05-20 16:00:00
95198669,588.44,592.58,581.82,582.86,2025-05-21 16:00:00
70861515,582.66,586.62,581.41,583.09,2025-05-22 16:00:00
76034180,575.98,581.81,575.6,579.11,2025-05-23 16:00:00
72589716,586.07,591.31,578.43,591.15,2025-05-27 16:00:00
68450475,591.56,592.77,586.99,587.73,2025-05-28 16:00:00
70074414,593.06,593.2,586.07,590.05,2025-05-29 16:00:00
90603523,588.93,591.13,583.24,589.39,2025-05-30 16:00:00
61633502,587.76,592.79,585.06,592.71,2025-06-02 16:00:00
63606463,592.34,597.08,591.85,596.09,2025-06-03 16:00:00
57315636,596.96,597.95,595.49,595.93,2025-06-04 16:00:00
92443628,597.63,599.0,591.05,593.05,2025-06-05 16:00:00
66589650,598.66,600.83,596.86,599.14,2025-06-06 16:00:00
53018620,599.72,601.25,598.49,599.68,2025-06-09 16:00:00
66248090,600.22,603.47,599.09,603.08,2025-06-10 16:00:00
73660369,604.19,605.06,599.27,601.36,2025-06-11 16:00:00
64132755,600.01,603.75,599.52,603.75,2025-06-12 16:00:00
89508329,598.5,601.85,595.48,597.0,2025-06-13 16:00:00
79985551,600.4,604.45,600.22,602.68,2025-06-16 16:00:00
82209915,600.21,601.75,596.76,597.53,2025-06-17 16:00:00
76609892,598.44,601.22,596.47,597.44,2025-06-18 16:00:00
94055203,598.38,599.46,592.86,594.28,2025-06-20 16:00:00
87431862,595.04,600.54,591.89,600.15,2025-06-23 16:00:00
67735512,604.33,607.85,603.41,606.78,2025-06-24 16:00:00
62115564,607.91,608.61,605.54,607.12,2025-06-25 16:00:00
78550339,608.99,612.31,608.37,611.87,2025-06-26 16:00:00
86262218,612.88,616.39,610.83,614.91,2025-06-27 16:00:00
92505789,617.38,619.22,615.04,617.85,2025-06-30 16:00:00
